protein1	protein2
NFKB1	TNIP2
AMOT	VASP
SS18L1	SMARCA4
SMURF1	HSPA5
SKIL	UBE2I
RAC1	ARL2BP
SNRPC	EIF4A3
TIPRL	PPP6C
SETDB1	HIST4H4
PIN1	TSC22D4
CDK12	TRA2B
DVL1	AXIN1
EIF4A3	REST
TRIM13	ARHGDIA
NPC2	NPC1
MAP2K1	CFLAR
SIAH1	RBBP8
SEPTIN9	VAPB
PKD1	ACTN1
LGR4	NCAPD3
PCMT1	TIMP2
RC3H1	UBE2G2
RYK	PRKDC
MAPK14	ELK3
TERF2	NAIF1
CTCF	HMGB1
RNF20	WAC
NUDT21	HDAC2
MOV10	USP11
MAPK14	BTRC
CDC26	ANAPC7
NKX3-2	TLE4
FBXW7	MED4
BAG6	WDR83
MED1	MED1
HDAC5	TFRC
YWHAH	PAK2
GNA13	TGFBR1
CSNK2A1	SRSF10
PHGDH	GRB2
SMARCD1	GIGYF1
ELAVL1	DICER1
RBFOX2	ATXN2
CCND1	ORC4
GATA2	ZFPM1
ARHGDIA	ALDOA
CAND1	DSP
PPP1CC	APP
KDM4C	HDAC1
RAC1	MYH9
HSPA5	DNAJC2
XPO1	FOXO1
ERCC6	CAND1
VCAM1	AARS
GSK3B	SNCAIP
MED12	MED21
ALYREF	ERCC4
CHIA	NDE1
RNPS1	PSME3
NAPA	STX16
RBM4	EIF2A
DICER1	HSPD1
LAMC1	LAMB1
RYR2	PPP1CB
BARD1	MSH2
PPP1R9B	PPP1CA
TIMELESS	PCNA
MORF4L1	KPNB1
MAN1A2	MAN1B1
PLCG1	RASA1
ATF7IP	YWHAG
LITAF	NEDD4L
RAF1	BCL2L1
NPM1	ATP5F1A
DDOST	STT3A
CDK4	CSNK2A1
BRCA1	FOSL2
FLNA	ACTG1
MRE11	FEN1
GRB2	GRB10
CPSF2	TAF12
PDGFRB	LRP6
CTNNB1	PPM1A
PRMT2	RXRA
NUDT21	RBM22
JAK3	LCK
SRP54	SRP54
CUL1	SNRPC
PSME3	YEATS2
DAB2IP	CUL1
RAB7A	RAB22A
SCMH1	SMARCA5
RBPMS	TENT2
IL4R	SOCS5
KIF2C	KIF2A
HGS	MED30
RNF146	XRCC5
TADA2A	MED16
NR1I2	NR1I2
COPS5	RUVBL1
ATP5F1D	ATP5F1C
FKBP4	PTGES3
DPY30	ARFGEF1
PPP1CA	PRKACG
UBE2A	CDKN2A
ELAVL1	DTX3L
SIRT7	USP11
SFRP2	MAEA
DFFA	USP15
DIO2	DIO2
ADD1	ID2
MYH9	TRPM7
PAXIP1	RAD50
NF2	TARBP2
SIM1	HSP90AA1
IPO11	DR1
CDK2	ID2
GRB2	HSPD1
HDAC1	TAF12
PRMT5	SLC25A4
NEDD4	RPS3A
HNRNPAB	TP63
SMARCC2	REST
DNMT1	MBD3
DHX9	DICER1
TP53	KAT2A
GLG1	REL
WWP2	DAG1
LATS1	YAP1
CDK6	TP53
SMAD5	SF3B1
AIFM1	HSPA1A
DSTN	PRDX5
CFTR	LMTK2
MYH11	ACTR3
SRPK2	EPM2A
PTK2	DAG1
VPS28	BCR
GRB2	SYNCRIP
RNF139	INSIG1
TRPV2	TRPV1
MYC	ERC1
PPP1CC	PCNA
SPRY1	CBLB
CUL3	OPA1
ZRSR2	SF3B1
EHD1	PRKDC
VCP	UBR5
RASA1	ANXA6
ACTL6A	TBL1XR1
VCAM1	NAPA
PTK2	MDM2
RAB22A	ALS2CL
OBSL1	RUVBL1
EDA	AFF4
TP53	WWOX
NDUFA6	NDUFS3
UBE2D2	EPS15
HNRNPA1	GTF2I
AAMP	PTPRU
RNF2	WDR12
CD44	BAG1
PPARD	NCOA3
ADNP	SMARCC2
BMI1	STRAP
IRAK1	HSPB1
XPO1	NUP62
YWHAG	CUL4A
MYH9	ITPR3
CDC27	CDC27
WRNIP1	POLD1
VCP	CDK4
CLTC	NFKB1
ARHGEF2	PSME3
CNTF	EIF3E
RNF111	XPC
PPP1CC	VCP
RPA2	XPC
GADD45A	CDK1
NEDD4	UBE2D2
TUBB	NCL
STAT1	VPS26A
CASP8	BRD1
PLCG2	ERRFI1
NCOR2	NCOA3
VAPA	NDUFS2
CUL4A	SMARCA5
ADRB2	ATP5F1A
GCK	GMIP
DNAJB6	HDAC6
USP7	USP7
ERCC4	H2AFX
ENO1	HNRNPH1
RELA	RPS6KA4
RBX1	HSPA8
IGBP1	NHEJ1
AATF	DAPK3
TLE5	RNF31
BAIAP2	BAIAP2L1
IFI6	APP
FBXO6	HEXB
ING1	RBBP7
PRKACA	CREB1
RIF1	UBE2V2
EZH2	PPARG
ZFYVE26	HOOK2
GRB2	ST5
HSP90AA1	MAP4K2
PINX1	EZR
PRAME	HIST4H4
TSHZ3	RINT1
EP300	ETV1
PAK2	PSMA2
SAT1	DGKZ
SHB	SRC
TP53	PCMT1
PRKACA	PSMC5
RPS15A	WDR77
GSK3B	SNCA
WDR12	WDR12
NOTCH1	PSEN2
GSK3B	IKBKG
GAB1	PXN
NFE2	PEX14
FOXA3	DSP
IRF3	SMURF2
RIF1	THOC6
MCM2	XRCC5
SRC	MAP2
CDK5	APP
COL17A1	ITGA6
RBMX	CRNKL1
HIST4H4	KDM4A
MOV10	EFEMP1
PPP2CB	IGBP1
RRAGB	RRAGC
PLCD1	CALM1
UGDH	CDK1
SRC	PIK3R1
EGLN1	SIAH2
MAP4K2	MAP2K4
ARHGAP31	TGFBR1
HCFC1	HSP90AA1
NR2F6	NR2F6
VPS33B	APP
PHF8	RIF1
ZDHHC17	STX16
MYH9	ANXA2
OBSL1	MRE11
STK4	SGMS1
LATS2	YWHAH
ELAVL1	FOXC1
EIF6	VDAC1
PCYT1A	RNF8
MEN1	SIN3A
CANT1	CANT1
MCM2	CNOT4
SNRPC	CARM1
SNCA	USP47
UBE2D2	UHRF2
SRPK1	MAGOH
SMURF1	ING2
HRAS	SHOC2
TP53I3	H2AFX
HDAC5	RBMX
ELAVL1	KMT5A
CDK2	RPE
NIPBL	PPT1
RARA	SIAH1
SIRT6	FLNB
HNRNPU	WDR77
STOM	STOM
APC	TNKS
TCF7L2	XRCC5
SIRT1	RAP1A
CBX8	CBX8
XRN1	ZFP36
EZH2	WWP1
CREB3	BIK
SMAD2	SNAPIN
SKP1	FBXL5
UBE2D2	MGRN1
BAIAP2	ENAH
CHFR	HLTF
CIRBP	SNW1
TADA3	KDM1A
JAK2	HSP90AA1
UBE2E1	RNF13
SUPT5H	CARM1
CIRBP	LUC7L3
MAPK13	TP53
CLTC	ARRB2
PPM1G	STMN1
ELAVL1	TPM1
MAPK8	SHC1
CUL3	NDUFS3
HDAC1	HSP90AA1
DHX9	PHF5A
VRK2	MAPK8
HTT	ITCH
CCNE1	TP73
PIN1	FOXO4
GRB2	RBBP6
RACGAP1	PCNT
UCHL5	TXN
FBLN5	FBLN5
STN1	MED12
RPS14	RPS19
CDK7	ERCC2
TRIM68	NLRP1
GCLM	IRF7
BTRC	WWOX
YWHAE	ZFP36L2
NRF1	POGZ
SIAH2	STAT3
PRKCB	CD44
ACTN3	LHX3
RNF2	FLNB
APC	BCL2L1
PRKDC	PRDX1
EEF1G	MDM2
TRIM11	UBE2D2
HDAC6	ACIN1
ING3	CUL1
BRMS1	APP
ENO1	CRLF1
TCEA1	GTF2F1
CXXC1	WDR82
HDAC6	MYD88
FERMT3	SNIP1
MAPK3	SLC9A1
FBXO31	CCND1
MCM2	CTNND1
SMURF1	HNRNPA1
STN1	RCOR1
DDX20	DICER1
PTK2	NASP
EIF6	PSME1
SRSF1	THOC6
VCP	PHB
WDR12	XPO1
CUL3	TIA1
PCM1	IFT57
PHB	RPS3A
PICK1	TRIM54
LIG4	COL1A2
ELAVL1	TAF2
PIP5K1C	ABR
RPA2	STAT3
RUVBL2	TBK1
HDAC5	KPNB1
EGFR	HOOK2
MOV10	SUPT5H
TNFRSF14	VIM
NPM1	PPP1CC
RAB11A	HTT
MAPK14	MEF2D
CPSF3	YWHAG
MDM2	ADRB2
PSEN1	NOS3
PRPF6	PABPC1
SIAH2	HDAC3
CIRBP	TLN1
ELAVL1	PARP1
PSMC2	PSMB5
RP2	CSNK1E
COPS5	RNF20
IGBP1	MBD3
ATR	SP1
GNAI2	PRKCE
SMAD1	KAT2A
EPM2A	EIF2B1
UBE2D2	RNF11
GTF2H2	CCNH
SMURF1	TRAF2
UNC13D	LMNA
POT1	YWHAE
USP2	LONP1
SMAD3	SMARCC2
LGR4	NPC1L1
CDK2	LATS1
WASF2	ACTR3
KAT2B	PARP1
HDAC1	HIST1H4D
CHUK	TRADD
CEBPB	CREBBP
ERCC1	TAF7
CUL3	AGO3
UBE3A	ANXA1
HSP90B1	RACK1
DNAJA1	NFKB1
OBSL1	ACTN4
DNMT1	CXXC1
HSPBP1	TRAF2
SMAD9	TWNK
URI1	DMAP1
JUN	VRK1
COPS5	SNRPC
RACK1	STAT3
KAT2A	TAF5
GIGYF2	SNRPC
MAPK1	TP53
BECN1	SGF29
ACTA1	RAC1
SMAD3	JUND
CSNK1D	DVL1
AKT2	RAB3D
ALDOA	ALDOA
NME2	RUVBL2
SMC1A	BRD4
NIN	NIN
FBXO6	PPT1
XRCC5	PPM1A
SMAD1	SNX6
HSPA1A	PSMC4
CYP1B1	UGT2B4
EPAS1	WRNIP1
HNRNPM	SNRPF
COPS5	USP14
KIFAP3	RBM22
TAB2	ATG5
DMD	CADPS2
OBSL1	PRMT1
ABI1	PIK3R2
COPS5	CDT1
TNFRSF1A	HIST1H4J
STX3	STX3
FMNL1	LIMA1
NRXN2	MACF1
FBXW4	CUL1
VHL	USP33
IRS1	PHIP
SMURF1	TNK2
INSR	PRKCD
GTPBP4	RPS3A
EXT2	EXT2
SF3B1	SRRT
AR	CASP8
SNRNP200	SNRNP200
