#queryIndex	queryItem	stringId	preferredName	annotation
1	AIMP1	9606.ENSP00000378191	AIMP1	Aminoacyl tRNA synthase complex-interacting multifunctional protein 1; Non-catalytic component of the multisynthase complex. Stimulates the catalytic activity of cytoplasmic arginyl-tRNA synthase. Binds tRNA. Possesses inflammatory cytokine activity. Negatively regulates TGF-beta signaling through stabilization of SMURF2 by binding to SMURF2 and inhibiting its SMAD7-mediated degradation. Involved in glucose homeostasis through induction of glucagon secretion at low glucose levels. Promotes dermal fibroblast proliferation and wound repair. Regulates KDELR1- mediated retention of HSP90B1 [...] 
2	BABAM2	9606.ENSP00000343412	BRE	BRISC and BRCA1-A complex member 2; Component of the BRCA1-A complex, a complex that specifically recognizes 'Lys-63'-linked ubiquitinated histones H2A and H2AX at DNA lesions sites, leading to target the BRCA1-BARD1 heterodimer to sites of DNA damage at double-strand breaks (DSBs). The BRCA1-A complex also possesses deubiquitinase activity that specifically removes 'Lys-63'-linked ubiquitin on histones H2A and H2AX. In the BRCA1-A complex, it acts as an adapter that bridges the interaction between BABAM1/NBA1 and the rest of the complex, thereby being required for the complex integrit [...] 
3	BMP4	9606.ENSP00000245451	BMP4	Bone morphogenetic protein 4; Induces cartilage and bone formation. Also act in mesoderm induction, tooth development, limb formation and fracture repair. Acts in concert with PTHLH/PTHRP to stimulate ductal outgrowth during embryonic mammary development and to inhibit hair follicle induction (By similarity); Bone morphogenetic proteins
4	C5	9606.ENSP00000223642	C5	Complement C5; Activation of C5 by a C5 convertase initiates the spontaneous assembly of the late complement components, C5-C9, into the membrane attack complex. C5b has a transient binding site for C6. The C5b-C6 complex is the foundation upon which the lytic complex is assembled; C3 and PZP like, alpha-2-macroglobulin domain containing
5	CCL1	9606.ENSP00000225842	CCL1	C-C motif chemokine 1; Cytokine that is chemotactic for monocytes but not for neutrophils. Binds to CCR8; Belongs to the intercrine beta (chemokine CC) family
6	CCL11	9606.ENSP00000302234	CCL11	Eotaxin; In response to the presence of allergens, this protein directly promotes the accumulation of eosinophils, a prominent feature of allergic inflammatory reactions. Binds to CCR3; Chemokine ligands
7	CCL13	9606.ENSP00000225844	CCL13	C-C motif chemokine 13; Chemotactic factor that attracts monocytes, lymphocytes, basophils and eosinophils, but not neutrophils. Signals through CCR2B and CCR3 receptors. Plays a role in the accumulation of leukocytes at both sides of allergic and non-allergic inflammation. May be involved in the recruitment of monocytes into the arterial wall during the disease process of atherosclerosis. May play a role in the monocyte attraction in tissues chronically exposed to exogenous pathogens; Chemokine ligands
8	CCL15	9606.ENSP00000484078	CCL15	C-C motif chemokine 15; Chemotactic factor that attracts T-cells and monocytes, but not neutrophils, eosinophils, or B-cells. Acts mainly via CC chemokine receptor CCR1. Also binds to CCR3. CCL15(22-92), CCL15(25-92) and CCL15(29-92) are more potent chemoattractants than the small-inducible cytokine A15; Belongs to the intercrine beta (chemokine CC) family
9	CCL16	9606.ENSP00000478024	CCL16	C-C motif chemokine 16; Shows chemotactic activity for lymphocytes and monocytes but not neutrophils. Also shows potent myelosuppressive activity, suppresses proliferation of myeloid progenitor cells. Recombinant SCYA16 shows chemotactic activity for monocytes and THP-1 monocytes, but not for resting lymphocytes and neutrophils. Induces a calcium flux in THP-1 cells that were desensitized by prior expression to RANTES; Belongs to the intercrine beta (chemokine CC) family
10	CCL17	9606.ENSP00000219244	CCL17	C-C motif chemokine 17; Chemotactic factor for T-lymphocytes but not monocytes or granulocytes. May play a role in T-cell development in thymus and in trafficking and activation of mature T-cells. Binds to CCR4; Belongs to the intercrine beta (chemokine CC) family
11	CCL18	9606.ENSP00000479955	CCL18	C-C motif chemokine 18; Chemotactic factor that attracts lymphocytes but not monocytes or granulocytes. May be involved in B-cell migration into B-cell follicles in lymph nodes. Attracts naive T-lymphocytes toward dendritic cells and activated macrophages in lymph nodes, has chemotactic activity for naive T-cells, CD4+ and CD8+ T-cells and thus may play a role in both humoral and cell-mediated immunity responses; Chemokine ligands
12	CCL19	9606.ENSP00000308815	CCL19	C-C motif chemokine 19; May play a role not only in inflammatory and immunological responses but also in normal lymphocyte recirculation and homing. May play an important role in trafficking of T-cells in thymus, and T-cell and B-cell migration to secondary lymphoid organs. Binds to chemokine receptor CCR7. Recombinant CCL19 shows potent chemotactic activity for T-cells and B-cells but not for granulocytes and monocytes. Binds to atypical chemokine receptor ACKR4 and mediates the recruitment of beta-arrestin (ARRB1/2) to ACKR4; Belongs to the intercrine beta (chemokine CC) family
13	CCL2	9606.ENSP00000225831	CCL2	C-C motif chemokine 2; Chemotactic factor that attracts monocytes and basophils but not neutrophils or eosinophils. Augments monocyte anti-tumor activity. Has been implicated in the pathogenesis of diseases characterized by monocytic infiltrates, like psoriasis, rheumatoid arthritis or atherosclerosis. May be involved in the recruitment of monocytes into the arterial wall during the disease process of atherosclerosis; Belongs to the intercrine beta (chemokine CC) family
14	CCL20	9606.ENSP00000351671	CCL20	C-C motif chemokine 20; Acts as a ligand for C-C chemokine receptor CCR6. Signals through binding and activation of CCR6 and induces a strong chemotactic response and mobilization of intracellular calcium ions. The ligand-receptor pair CCL20-CCR6 is responsible for the chemotaxis of dendritic cells (DC), effector/memory T-cells and B- cells and plays an important role at skin and mucosal surfaces under homeostatic and inflammatory conditions, as well as in pathology, including cancer and various autoimmune diseases. CCL20 acts as a chemotactic factor that attracts lymphocytes and, slig [...] 
15	CCL21	9606.ENSP00000259607	CCL21	C-C motif chemokine 21; Inhibits hemopoiesis and stimulates chemotaxis. Chemotactic in vitro for thymocytes and activated T-cells, but not for B-cells, macrophages, or neutrophils. Shows preferential activity towards naive T-cells. May play a role in mediating homing of lymphocytes to secondary lymphoid organs. Binds to atypical chemokine receptor ACKR4 and mediates the recruitment of beta-arrestin (ARRB1/2) to ACKR4; Belongs to the intercrine beta (chemokine CC) family
